"module name","license","repository"
"@tiptap/extension-dropcursor@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-floating-menu@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-gapcursor@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-hard-break@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-heading@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-horizontal-rule@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-italic@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-link@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-list-item@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-list-keymap@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-list@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-ordered-list@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-paragraph@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-placeholder@3.0.7","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-strike@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-task-item@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-task-list@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-text@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-underline@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extensions@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/pm@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/react@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/starter-kit@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@types/debug@4.1.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/diff-match-patch@1.0.36","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/dompurify@3.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree-jsx@1.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hast@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/linkify-it@5.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/markdown-it@14.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdast@4.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdurl@2.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@20.19.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/phoenix@1.6.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@18.3.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-window@1.8.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.3.23","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/trusted-types@2.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@2.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/use-sync-external-store@0.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ws@8.18.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@ungap/structured-clone@1.3.0","ISC","https://github.com/ungap/structured-clone"
"@vercel/analytics@1.5.0","MPL-2.0","https://github.com/vercel/analytics"
"@vercel/speed-insights@1.2.0","Apache-2.0","https://github.com/vercel/speed-insights"
"ai@4.3.19","Apache-2.0","https://github.com/vercel/ai"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"aria-hidden@1.2.6","MIT","https://github.com/theKashey/aria-hidden"
"bail@2.0.2","MIT","https://github.com/wooorm/bail"
"boxlog-app@0.1.0","UNLICENSED",""
"busboy@1.6.0","MIT","https://github.com/mscdex/busboy"
"caniuse-lite@1.0.30001743","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"ccount@2.0.1","MIT","https://github.com/wooorm/ccount"
"chalk@5.4.1","MIT","https://github.com/chalk/chalk"
"character-entities-html4@2.1.0","MIT","https://github.com/wooorm/character-entities-html4"
"character-entities-legacy@3.0.0","MIT","https://github.com/wooorm/character-entities-legacy"
"character-entities@2.0.2","MIT","https://github.com/wooorm/character-entities"
"character-reference-invalid@2.0.1","MIT","https://github.com/wooorm/character-reference-invalid"
"class-variance-authority@0.7.1","Apache-2.0","https://github.com/joe-bell/cva"
"client-only@0.0.1","MIT",""
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"cmdk@1.1.1","MIT","https://github.com/pacocoursey/cmdk"
"color-convert@3.1.0","MIT","https://github.com/Qix-/color-convert"
"color-name@2.0.0","MIT","https://github.com/colorjs/color-name"
"color-string@2.0.1","MIT","https://github.com/Qix-/color-string"
"color@5.0.0","MIT","https://github.com/Qix-/color"
"comma-separated-tokens@2.0.3","MIT","https://github.com/wooorm/comma-separated-tokens"
"cookie@1.0.2","MIT","https://github.com/jshttp/cookie"
"crelt@1.0.6","MIT","https://github.com/marijnh/crelt"
"css-box-model@1.2.1","MIT","https://github.com/alexreardon/css-box-model"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"date-fns-jalali@4.1.0-0","MIT","https://github.com/date-fns-jalali/date-fns-jalali"
"date-fns-tz@3.2.0","MIT","https://github.com/marnusw/date-fns-tz"
"date-fns@4.1.0","MIT","https://github.com/date-fns/date-fns"
"debug@4.4.1","MIT","https://github.com/debug-js/debug"
"decode-named-character-reference@1.2.0","MIT","https://github.com/wooorm/decode-named-character-reference"
"dequal@2.0.3","MIT","https://github.com/lukeed/dequal"
"detect-node-es@1.1.0","MIT","https://github.com/thekashey/detect-node"
"devlop@1.1.0","MIT","https://github.com/wooorm/devlop"
"diff-match-patch@1.0.5","Apache-2.0","https://github.com/JackuB/diff-match-patch"
"dnd-core@16.0.1","MIT","https://github.com/react-dnd/react-dnd"
"dompurify@3.2.7","(MPL-2.0 OR Apache-2.0)","https://github.com/cure53/DOMPurify"
"dotenv@17.2.0","BSD-2-Clause","https://github.com/motdotla/dotenv"
"entities@4.5.0","BSD-2-Clause","https://github.com/fb55/entities"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"escape-string-regexp@5.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"estree-util-is-identifier-name@3.0.0","MIT","https://github.com/syntax-tree/estree-util-is-identifier-name"
"extend@3.0.2","MIT","https://github.com/justmoon/node-extend"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"framer-motion@11.18.2","MIT","https://github.com/motiondivision/motion"
"framer-motion@12.23.7","MIT","https://github.com/motiondivision/motion"
"get-nonce@1.0.1","MIT","https://github.com/theKashey/get-nonce"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"hast-util-to-html@9.0.5","MIT","https://github.com/syntax-tree/hast-util-to-html"
"hast-util-to-jsx-runtime@2.3.6","MIT","https://github.com/syntax-tree/hast-util-to-jsx-runtime"
"hast-util-whitespace@3.0.0","MIT","https://github.com/syntax-tree/hast-util-whitespace"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"html-url-attributes@3.0.1","MIT","https://github.com/rehypejs/rehype-minify/tree/main/packages/html-url-attributes"
"html-void-elements@3.0.0","MIT","https://github.com/wooorm/html-void-elements"
"inline-style-parser@0.2.4","MIT","https://github.com/remarkablemark/inline-style-parser"
"is-alphabetical@2.0.1","MIT","https://github.com/wooorm/is-alphabetical"
"is-alphanumerical@2.0.1","MIT","https://github.com/wooorm/is-alphanumerical"
"is-decimal@2.0.1","MIT","https://github.com/wooorm/is-decimal"
"is-hexadecimal@2.0.1","MIT","https://github.com/wooorm/is-hexadecimal"
"is-plain-obj@4.1.0","MIT","https://github.com/sindresorhus/is-plain-obj"
"isomorphic.js@0.2.5","MIT","https://github.com/dmonad/isomorphic.js"
"isows@1.0.7","MIT","https://github.com/wevm/isows"
"jotai@2.12.5","MIT","https://github.com/pmndrs/jotai"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"json-schema@0.4.0","(AFL-2.1 OR BSD-3-Clause)","https://github.com/kriszyp/json-schema"
"jsondiffpatch@0.6.0","MIT","https://github.com/benjamine/jsondiffpatch"
"lexical@0.35.0","MIT","https://github.com/facebook/lexical"
"lib0@0.2.114","MIT","https://github.com/dmonad/lib0"
"linkify-it@5.0.0","MIT","https://github.com/markdown-it/linkify-it"
"linkifyjs@4.3.2","MIT","https://github.com/nfrasser/linkifyjs"
"longest-streak@3.1.0","MIT","https://github.com/wooorm/longest-streak"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lucide-react@0.539.0","ISC","https://github.com/lucide-icons/lucide"
"markdown-it@14.1.0","MIT","https://github.com/markdown-it/markdown-it"
"markdown-table@3.0.4","MIT","https://github.com/wooorm/markdown-table"
"mdast-util-find-and-replace@3.0.2","MIT","https://github.com/syntax-tree/mdast-util-find-and-replace"
"mdast-util-from-markdown@2.0.2","MIT","https://github.com/syntax-tree/mdast-util-from-markdown"
"mdast-util-gfm-autolink-literal@2.0.1","MIT","https://github.com/syntax-tree/mdast-util-gfm-autolink-literal"
"mdast-util-gfm-footnote@2.1.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-footnote"
"mdast-util-gfm-strikethrough@2.0.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-strikethrough"
"mdast-util-gfm-table@2.0.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-table"
"mdast-util-gfm-task-list-item@2.0.0","MIT","https://github.com/syntax-tree/mdast-util-gfm-task-list-item"
"mdast-util-gfm@3.1.0","MIT","https://github.com/syntax-tree/mdast-util-gfm"
"mdast-util-mdx-expression@2.0.1","MIT","https://github.com/syntax-tree/mdast-util-mdx-expression"
"mdast-util-mdx-jsx@3.2.0","MIT","https://github.com/syntax-tree/mdast-util-mdx-jsx"
"mdast-util-mdxjs-esm@2.0.1","MIT","https://github.com/syntax-tree/mdast-util-mdxjs-esm"
"mdast-util-phrasing@4.1.0","MIT","https://github.com/syntax-tree/mdast-util-phrasing"
"mdast-util-to-hast@13.2.0","MIT","https://github.com/syntax-tree/mdast-util-to-hast"
"mdast-util-to-markdown@2.1.2","MIT","https://github.com/syntax-tree/mdast-util-to-markdown"
"mdast-util-to-string@4.0.0","MIT","https://github.com/syntax-tree/mdast-util-to-string"
"mdurl@2.0.0","MIT","https://github.com/markdown-it/mdurl"
"memoize-one@5.2.1","MIT","https://github.com/alexreardon/memoize-one"
"micromark-core-commonmark@2.0.3","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-core-commonmark"
"micromark-extension-gfm-autolink-literal@2.1.0","MIT","https://github.com/micromark/micromark-extension-gfm-autolink-literal"
"micromark-extension-gfm-footnote@2.1.0","MIT","https://github.com/micromark/micromark-extension-gfm-footnote"
"micromark-extension-gfm-strikethrough@2.1.0","MIT","https://github.com/micromark/micromark-extension-gfm-strikethrough"
"micromark-extension-gfm-table@2.1.1","MIT","https://github.com/micromark/micromark-extension-gfm-table"
"micromark-extension-gfm-tagfilter@2.0.0","MIT","https://github.com/micromark/micromark-extension-gfm-tagfilter"
"micromark-extension-gfm-task-list-item@2.1.0","MIT","https://github.com/micromark/micromark-extension-gfm-task-list-item"
"micromark-extension-gfm@3.0.0","MIT","https://github.com/micromark/micromark-extension-gfm"
"micromark-factory-destination@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-destination"
"micromark-factory-label@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-label"
"micromark-factory-space@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-space"
"micromark-factory-title@2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-title"
